seller_id,seller_state,total_orders,late_rate,avg_delay_days,avg_review_score,total_revenue_at_risk,canceled_orders,reliability_score,reliability_tier
5011f0d93373a4c5753adf58ca77af8d,SP,11,19.05,-4.19,3.67,841.44,0,98.85,Reliable
5bc55dbe2f12b6af6d83ed46023e0dc8,MG,17,19.05,-9.62,2.33,771.22,0,109.71,Reliable
0d85bbda9889ce1f7e63778d24f346eb,MG,51,18.97,-10.12,3.78,6210.63,0,110.75,Reliable
86bb7c4b535e49a541baf3266b1c95b1,SP,16,18.75,-11.88,3.0,1858.02,0,114.39,Reliable
55bb6fe5bebe5012e2d7d9928e1128ff,SP,15,18.75,-9.31,3.56,615.19,0,109.25,Reliable
cac4c8e7b1ca6252d8f20b2fc1a2e4af,SP,74,18.29,-5.01,3.5,1018.36,0,100.88,Reliable
0249d282d911d23cb8b869ab49c99f53,SP,11,18.18,-8.36,4.27,83.48,0,107.63,Reliable
d32e3909cfb714fb2a6cb092c85b9c5f,SP,10,18.18,-10.64,3.64,1036.29,0,112.19,Reliable
39c763cca83e654764b7a4a650fb9b7c,GO,11,18.18,-6.82,3.82,162.12,0,104.55,Reliable
1b7e5006cb25dd23ce8686691013b121,SP,11,18.18,-6.36,4.36,633.82,0,103.63,Reliable
f593898ec748b7a8cb81fc04edafd98a,SP,19,18.18,-14.18,3.45,843.5,0,119.27,Reliable
d17f467e4bf608a510c20d82f4ba3b6b,RS,11,18.18,-7.18,4.27,539.28,0,105.27,Reliable
cd68562d3f44870c08922d380acae552,SP,122,17.83,-7.57,3.88,6228.5,0,106.23,Reliable
834f8533b2ecb6598dd004ff3de7203a,SP,41,17.78,-6.73,3.84,1250.78,0,104.57,Reliable
921323538c9f1c4e816f2720eac02bea,SP,15,17.65,-9.41,4.0,169.4,0,110.0,Reliable
9c068d10aca38e85c50202e17b4a7e88,MS,17,17.65,-13.41,3.88,618.66,0,118.0,Reliable
b64d51f0435e884e8de603b1655155ae,SP,17,17.39,-9.65,4.13,396.11,0,110.61,Reliable
ec8879960bd2221d5c32f8e12f7da711,SP,35,17.14,-8.71,4.17,669.77,0,108.85,Reliable
002100f778ceb8431b7a1020ff7ab48f,SP,50,16.67,-8.19,4.04,302.51,0,108.04,Reliable
cb5df0dcb9e280b1780e9d589889f2c7,SP,11,16.67,-16.33,3.25,391.37,0,124.32,Reliable
850913d59ce317156b00f3705f1c3edb,SP,29,16.67,-7.37,3.5,535.86,0,106.4,Reliable
70849ca4f400aaabb62cb7462a6f1428,MG,12,16.67,-11.0,4.42,170.31,0,113.66,Reliable
bd15ee794d5e640d9dd71b665b2ab15b,SP,12,16.67,-14.25,4.0,112.71,0,120.16,Reliable
8ca1551acf9832a4cf467bbbac15851f,PR,11,16.67,-11.0,3.67,408.64,0,113.66,Reliable
d20b021d3efdf267a402c402a48ea64b,SP,86,16.67,-5.84,3.66,1138.65,0,103.34,Reliable
99a54764c341d5dc80b4a8fac4eba3fb,SP,44,16.67,-10.17,3.45,2099.47,0,112.0,Reliable
81336a0f57a33776419727a300249e90,SP,15,16.67,-8.11,3.83,802.33,0,107.88,Reliable
bc07d855eac23aab5ac8a120f21d16b2,SP,11,16.67,-10.75,4.42,239.61,0,113.16,Reliable
59cd88080b93f3c18508673122d26169,SP,10,16.67,-8.42,4.75,180.36,0,108.5,Reliable
ccb83a794700270fde70898fe9ff368b,SC,12,16.67,-9.92,4.33,2093.12,0,111.5,Reliable
b55638ad525e906c698fa2ce742c1742,SC,11,16.67,-9.67,4.17,433.74,0,111.0,Reliable
2c9e548be18521d1c43cde1c582c6de8,SP,124,16.37,-6.92,3.88,2475.65,0,105.66,Reliable
88460e8ebdecbfecb5f9601833981930,PR,246,16.33,-10.96,3.35,9002.43,0,113.76,Reliable
abe42c5d03695b4257b5c6cbf4e6784e,RJ,49,16.33,-9.35,3.88,2918.23,0,110.54,Reliable
3c03b12bab54d8b37d79d914bfdb1aa0,RJ,37,16.28,-8.81,3.79,1112.83,0,109.48,Reliable
dd55f1bb788714a40e7954c3be6df745,SP,35,16.22,-9.49,3.81,1399.44,0,110.87,Reliable
adcf50477d6a1f5d91bb9d54c4903cb5,MG,16,16.13,-12.32,3.35,398.74,0,116.58,Reliable
56642bcb79900e777d68e91915cb4267,SP,48,16.07,-10.93,3.77,1627.2,0,113.83,Reliable
099095b050cfe8eb1ddff5317587e96e,SP,16,15.79,-11.32,3.05,1866.63,0,114.75,Reliable
9f50216bfd01913736a55a11b55ea842,SP,17,15.79,-7.68,4.47,636.28,0,107.47,Reliable
b74d1c09cb380e1d03a6f859c6f4224b,RJ,30,15.79,-11.76,4.24,785.75,0,115.62,Reliable
89bc797e2e29667aa035d4368f9b7f92,SP,16,15.79,-20.79,3.89,100.7,0,133.69,Reliable
e5a3438891c0bfdb9394643f95273d8e,SP,216,15.79,-6.71,3.85,2277.41,0,105.53,Reliable
b17b679f4f5ce2e03ce6968c62648246,SP,50,15.69,-11.35,3.92,757.16,0,114.86,Reliable
11bfa66332777660bd0640ee84d47006,SP,76,15.69,-8.82,3.8,1545.06,0,109.8,Reliable
8931a84a914b3fe9b1ddaa4d704947ca,SP,29,15.63,-8.94,3.66,1349.08,0,110.06,Reliable
d9e7e7778b32987280a6f2cb9a39c57d,SP,11,15.38,-9.62,3.15,151.97,0,111.55,Reliable
c60b801f2d52c7f7f91de00870882a75,SP,39,15.38,-10.67,3.44,2286.31,0,113.65,Reliable
36890be00bbfc1cdb9a4a38a6af05a69,SP,13,15.38,-11.62,4.23,211.88,0,115.55,Reliable
15aac934c58d886785ac1b17953ea898,ES,25,15.38,-7.62,4.12,3357.28,0,107.55,Reliable
d93919c944be9cff128f6c9cb899eacb,SP,33,15.15,-8.06,4.0,636.94,0,108.55,Reliable
8160255418d5aaa7dbdc9f4c64ebda44,SP,380,15.09,-7.55,3.81,12532.03,0,107.55,Reliable
05f51e13da97139648b8125c31e5f51b,MG,57,15.0,-9.95,4.25,2501.32,0,112.4,Reliable
5b8154610ebb21fb90eb587365e673df,SP,37,15.0,-9.25,4.18,1749.11,0,111.0,Reliable
1ca7077d890b907f89be8c954a02686a,SP,108,14.96,-6.86,2.25,2682.19,0,106.24,Reliable
3b872fd4747f01cc56206f2934198618,SP,25,14.81,-9.07,3.89,705.71,0,110.73,Reliable
6973a06f484aacf400ece213dbf3d946,SP,89,14.81,-7.45,3.61,4088.36,0,107.5,Reliable
244c2f1bff6afe1f2eaf9bfe9b2aed38,SP,23,14.81,-8.48,3.63,1339.07,0,109.56,Reliable
b561927807645834b59ef0d16ba55a24,SP,85,14.74,-8.76,4.34,1024.49,0,110.15,Reliable
e96498ed8daaa3e9c23f7a62da76591c,SP,34,14.71,-10.24,3.94,1403.26,0,113.12,Reliable
432c37c9dfba871172ec162e20118b8c,DF,44,14.55,-11.33,4.29,1347.27,0,115.38,Reliable
0bf0150d5b9d60d9cd2906003332f085,SP,39,14.52,-7.24,3.53,2256.69,0,107.22,Reliable
0ed6ce5d87fd9c69eaacaeb778d67235,SP,42,14.29,-12.79,4.29,509.06,0,118.44,Reliable
4aba391bc3b88717ce08eb11e44937b2,BA,27,14.29,-13.25,4.0,900.46,0,119.36,Reliable
f63d8f293af3a6454377546bd9dd19ff,SP,17,14.29,-9.79,3.82,1729.6,0,112.44,Reliable
2156f2671501a81034d7d07f217609d0,SP,21,14.29,-6.48,4.0,299.95,0,105.81,Reliable
ffeee66ac5d5a62fe688b9d26f83f534,SP,14,14.29,-8.36,4.21,323.51,0,109.58,Reliable
f08c008c8a8d31417763738a1788a2a8,PR,20,14.29,-6.81,3.14,223.96,0,106.48,Reliable
d97df38225e5abadaff1e72cb72b823c,SP,28,14.29,-9.32,3.79,346.35,0,111.5,Reliable
e0878efa0e0b7e5313ac0b43bc04c081,PR,26,14.29,-11.25,3.54,1124.59,0,115.36,Reliable
a1474fd46fd3430168f7ec202da39408,SP,12,14.29,-12.0,4.43,1011.45,0,116.86,Reliable
5b07547f10dd980738a1a27f685af669,SP,13,14.29,-5.71,4.5,156.2,0,104.28,Reliable
28f10b1c5e5abb9d4857745bede6147c,SP,28,14.29,-6.61,4.0,143.56,0,106.08,Reliable
6f229cc508fc6915ed5c499efd93baa4,RJ,13,14.29,-9.0,4.43,305.76,0,110.86,Reliable
e62b2d6ac10570a035a30bafcf01d263,SP,62,14.08,-9.18,3.56,1145.08,0,111.32,Reliable
900ba814c251a692506d7834c1218441,SP,86,13.95,-8.59,4.13,4426.03,0,110.21,Reliable
57c764b4a836300be881e2ff86e449f9,SP,28,13.79,-9.45,4.1,101.57,0,112.0,Reliable
323ce52b5b81df2cd804b017b7f09aa7,SP,29,13.79,-5.66,4.28,450.85,0,104.43,Reliable
ec4608a1f76453166bb312b2968aeaf4,SP,17,13.79,-7.28,3.03,377.84,0,107.67,Reliable
431af27f296bc6519d890aa5a05fdb11,SP,116,13.71,-7.54,3.77,2527.38,0,108.22,Reliable
7b1222c3624aa89b9558b50a2594188c,SP,22,13.64,-13.05,4.45,1529.19,0,119.28,Reliable
